ID,Cluster by embedding(STORY),Each StoryCluster LDA,TITLE,STORY,Each Story LDA,ENDING_SPEECH,Each Ending LDA,Cluster by embedding(ending_speech),Each EndingCluster LDA,ENDING_SPEAKER,MORAL1,MORAL2,Each Moral2 LDA,Cluster by embedding(MORAL2),Each Moral2Cluster LDA,NOTE BY GIBBS
1,0,4,DEMADES AND THE ATHENIANS,"The orator Demades was trying to address his Athenian audience. When he failed to get their attention, he asked if he might tell them an Aesop's fable. The audience agreed, so Demades began his story. 'The goddess Demeter, a swallow, and an eel were walking together down the road. When they reached a river, the swallow flew up in the air and the eel jumped into the water.' Demades then fell silent. The audience asked, 'And what about the goddess Demeter?' 'As for Demeter,' Demades replied, 'she is angry at all of you for preferring Aesop's fables to politics!'",3,"As for Demeter, she is angry at all of you for preferring Aesop's fables to politics!",6,0,4,Demades,none,"So it is that foolish people disregard important business in favour 
        of frivolities.",0,individual,,Demades (d. 319 B.C.E.) was an Athenian orator and diplomat. Demeter was a Greek agricultural goddess and was of special importance to the Athenians because of the cult of the Eleusinian Mysteries (see Fable 559).
2,0,4,DEMOSTHENES AND THE ATHENIANS,"They say that during an assembly in Athens, Demosthenes was prevented from making his speech, so he told the audience he wanted to say just a few words. When the audience had fallen silent, Demosthenes began his tale. 'It was summertime, and a young man had hired a donkey to take him from Athens to Megara. At midday, when the sun was blazing hot, the young man and the donkey's driver both wanted to sit in the donkey's shadow. They began to jostle one another, fighting for the spot in the shade. The driver maintained that the man had rented the donkey but not his shadow, while the young man claimed that he had rented both the donkey and all the rights thereto.' Having told this much of the story, Demosthenes then turned his back on the audience and began to walk away. The Athenians shouted at him to stop and begged him to finish the story. 'Indeed!' said Demosthenes. 'You want to hear all about the donkey's shadow, but you refuse to pay attention when someone talks to you about serious matters!'",1,"Indeed! You want to hear all about the donkey's shadow, but you refuse to pay attention when someone talks to you about serious matters!",8,1,2,Demosthenes,none,none,none,none,,"Demosthenes (d. 322 B.C.E.) was a renowned orator of fourth-century Athens. Megara is a Greek city on the Saronic Gulf to the west of Athens. The 'donkey's shadow' was an ancient cliche for something of trivial importance (see, for example, Plato, Phaedrus 260c and Aristophanes, Wasps 191)."
3,0,4,"THE WOLF, THE DOG AND THE COLLAR","A comfortably plump dog happened to run into a wolf. The wolf asked the dog where he had been finding enough food to get so big and fat. 'It is a man,' said the dog, 'who gives me all this food to eat.' The wolf then asked him, 'And what about that bare spot there on your neck?' The dog replied, 'My skin has been rubbed bare by the iron collar which my master forged and placed upon my neck.' The wolf then jeered at the dog and said, 'Keep your luxury to yourself then! I don't want anything to do with it, if my neck will have to chafe against a chain of iron!'",2,"Keep your luxury to yourself then! I don't want anything to do with it, if my neck will have to chafe against a chain of iron!",1,2,4,wolf,none,none,none,none,,Caxton (3.15) adds this epimythium: 'Therfore there is no rychesse gretter than lyberte / For lyberte is better than alle the gold of the world.'
4,0,4,"THE ONAGER, THE DONKEY AND THE DRIVER","An onager saw a donkey standing in the sunshine. The onager approached the donkey and congratulated him on his good physical condition and excellent diet. Later on, the onager saw that same donkey bearing a load on his back and being harried by a driver who was beating the donkey from behind with a club. The onager then declared, 'Well, I am certainly not going to admire your good fortune any longer, seeing as you pay such a high price for your prosperity!'",6,"Well, I am certainly not going to admire your good fortune any longer, seeing as you pay such a high price for your prosperity!",9,0,4,onager,none,none,none,none,,"The onager, or wild ass, once roamed the plains of central Asia. The word onager is from the Greek onos, 'donkey', and agros, 'field'."
5,0,4,"THE DONKEY, THE ONAGER AND THE LION","An onager saw a donkey labouring under a heavy load and he made fun of the donkey's enslavement. 'Lucky me!' said the onager. 'I am free from bondage and do not have to work for anyone else, since I have grass near at hand on the hillsides, while you rely on someone else to feed you, forever oppressed by slavery and its blows!' At that very moment a lion happened to appear on the scene. He did not come near the donkey since the donkey's driver was standing beside him. The onager, however, was all alone, so the lion attacked and devoured him.",1,"Lucky me! I am free from bondage and do not have to work for anyone else, since I have grass near at hand on the hillsides, while you rely on someone else to feed you, forever oppressed by slavery and its blows!",9,2,4,onager,none,"The story shows that people who are obstinate and insubordinate come 
        to a bad end because they get carried away by their own sense of stubbornness 
        and refuse to ask others for assistance.",2,0,2,
6,0,4,"THE DONKEY, THE PRIESTS AND THE TAMBOURINES","The Galli, those priests of the goddess Cybebe, used a donkey to carry their luggage when they went around begging for alms. When their donkey finally died, overcome by work and the whip, they stripped his hide and made themselves some tambourines. When someone asked them what they had done with their darling donkey, the priests replied, 'He thought that once he died he would get some rest, but he keeps on getting beaten just the same!'",0,"He thought that once he died he would get some rest, but he keeps on getting beaten just the same!",2,5,4,the priests,none,"It is not enough that a man who is born under an unlucky star leads 
        an unhappy life: the bitter affliction of his fate pursues him even after 
        he is dead.",8,0,2,"For another fable about the Galli, priests of the Anatolian goddess Cybebe (or Cybele), see Fable 244. These priests were famous for their raucous music, including the use of tambourines."
7,0,4,AESOP AND THE RUNAWAY SLAVE,"A slave who was running away from his cruel master happened to meet Aesop, who knew him as a neighbour. 'What's got you so excited?' asked Aesop. 'Father Aesop -- a name you well deserve since you are like a father to me -- I'm going to be perfectly frank, since you can be safely trusted with my troubles. There's plenty of whipping and not enough food. I'm constantly sent on errands out to the farm without any provisions for the journey. If the master dines at home, I have to wait on him all night long; if he is invited somewhere else, I have to lie outside in the gutter until dawn. I should have earned my freedom by now, but my hairs have gone gray and I'm still slaving away. If I had done anything to deserve this, I would stop complaining and suffer my fate in silence. But the fact is that I never get enough to eat and my cruel master is always after me. For these reasons, along with others that it would take too long to tell you, I've decided to go wherever my feet will lead me.' 'Well,' said Aesop, 'listen to what I say: if you must endure such hardship without having done anything wrong, as you say, then what is going to happen to you now that you really are guilty of something?' With these words of advice, Aesop scared the slave into giving up his plans of escape.",1,"if you must endure such hardship without having done anything wrong, as you say, then what is going to happen to you now that you really are guilty of something?",6,1,2,Aesop,none,none,none,none,,There is a promythium appended to the fable in Perotti's Appendix: 'The fable shows that you should not add one problem to another.'
8,0,4,THE JACKDAW AND THE STRING,"A man caught a jackdaw and tied the bird's foot with a piece of string so that he could give the bird to his children as a present. The jackdaw, however, could not stand to live in human society, so when they let him loose for just a moment, he ran away. But when he got back to his nest, the string became entangled in the branches, so that the jackdaw was unable to fly. As he was dying, the bird said to himself, 'How stupid of me! Since I could not stand being a slave in human society, I have brought about my own death.'",1,"How stupid of me! Since I could not stand being a slave in human society, I have brought about my own death",12,5,4,jackdaw,none,"This story is appropriate for people who want to rescue themselves 
        from some moderate difficulties and, without realizing it, find themselves 
        in even more serious trouble.",11,0,2,
9,0,4,"THE BUTCHER, THE SHEPHERD AND THE LAMB","A shepherd and a butcher were walking along the road together. They saw a plump little lamb who had wandered away from the flock and had been left behind by his fellow sheep. The shepherd and the butcher both rushed to grab the lamb. This was back in the days when animals spoke the same language as people, so the lamb asked the two men why they wanted to grab him and carry him off. After the lamb found out what they both did, he turned and offered himself to the shepherd. 'You are nothing but an executioner of sheep,' he said to the butcher, 'and your hands are stained with the blood of the flock! This man, on the other hand, rejoices if we thrive and prosper.'",5,"You are nothing but an executioner of sheep, and your hands are stained with the blood of the flock! This man, on the other hand, rejoices if we thrive and prosper",7,5,4,lamb,none,none,none,none,,Maximus of Tyre was a Greek philosopher and sophist of the second century C.E.
10,0,4,THE DONKEY AND HIS MASTERS,"There was a donkey who worked for a gardener. Because the gardener made the donkey work very hard but gave him very little food, the donkey prayed to Zeus to take him away from the gardener and give him to another master, so Zeus sent Hermes to sell the donkey to a potter. The donkey also found this situation unbearable, since he was forced to carry even heavier loads than before. He called upon Zeus again, and this time Zeus arranged for the donkey to be purchased by a tanner. When the donkey saw the kind of work the tanner did, he said, 'Oh, it would have been better for me to have kept on working for my previous masters in a state of starvation! Now I have ended up in a place where I won't even get a proper burial after I die.'",6,"Oh, it would have been better for me to have kept on working for my previous masters in a state of starvation! Now I have ended up in a place where I won't even get a proper burial after I die",9,5,4,donkey,none,"The story shows that slaves miss their former masters the most when 
        they have had some experience with their new ones.",2,1,2,"Zeus is the supreme god of the Greek pantheon, and Hermes is his messenger, often serving as Zeus's agent in earthly affairs. For a similar fable about ever-worsening masters, see Fable 28."
11,0,4,"THE OLD MAN, THE DONKEY AND THE PACK SADDLES","A cowardly old man had led his donkey out to pasture. At the unexpected sound of the enemy approaching, the old man was stricken with terror and tried to persuade the donkey to run away so that he wouldn't be captured. The donkey obstinately asked the old man, 'Tell me, do you suppose the victor will make me carry two pack saddles instead of one?' The old man said he did not think so. 'I rest my case,' concluded the donkey. 'What difference does it make who my master is, if I always carry one saddle at a time?'",1,"What difference does it make who my master is, if I always carry one saddle at a time?",8,3,0,donkey,none,"When there is a change in government, nothing changes for the poor 
        folk except their master's name.",1,individual,,
12,0,4,THE FROGS AND THE BATTLE OF THE BULLS,"A frog looked out from her pond and saw a battle taking place between the bulls. 'Oh no!' she said, 'There is terrible danger in store for us.' Another frog asked her why she said this, since the bulls were fighting for control of the herd in their home far away from the frogs. The first frog explained, 'While their habitat may be separate from ours and our species not the same, the bull who is driven from the lordship of the meadow will come to find a secret hiding place here in the marsh, crushing us beneath his heavy hooves. That is why their frenzy is a matter of life and death for us!'",1,"While their habitat may be separate from ours and our species not the same, the bull who is driven from the lordship of the meadow will come to find a secret hiding place here in the marsh, crushing us beneath his heavy hooves. That is why their frenzy is a matter of life and death for us!",0,4,3,first frog,none,Poor folk suffer when the high and mighty are at war with one another.,1,1,2,
13,0,4,THE LION AND THE FAWN,"The lion had gone into in a raging frenzy. A fawn saw him from the woods and said, 'Oh, we really are in trouble! Now that the lion is enraged, he will not stop at anything - and he was already more than we could bear even before he went out of his mind!'",1,"Oh, we really are in trouble! Now that the lion is enraged, he will not stop at anything - and he was already more than we could bear even before he went out of his mind",9,4,3,fawn,none,none,none,none,,
14,0,4,"THE LION, THE COW, THE SHE-GOAT AND THE SHEEP","A cow and a she-goat and a long-suffering sheep decided to become the lion's companions. They went into the forest together and there they caught an extremely large stag which they divided into four portions. Then the lion said, 'I claim the first portion by right of my title, since I am called the king; the second portion you will give me as your partner; then, because I am strongest, the third portion is mine ... and woe betide anyone who dares to touch the fourth!' In this way the wicked lion carried off all the spoils for himself.",2,"I claim the first portion by right of my title, since I am called the king; the second portion you will give me as your partner; then, because I am strongest, the third portion is mine ... and woe betide anyone who dares to touch the fourth!",3,0,4,lion,none,"An alliance made with the high and mighty can never be trusted. This 
        little fable proves my point.",1,1,2,"Sir Roger L'Estrange appends this apt proverb: 'He that has the Staff in his Hand will be his own Carver.' In Greek versions of this fable (e.g., Chambry 207), the alliance is between a lion and an onager. For another story about the 'lion's share,' see Fable 15 (following)."
15,0,4,"THE WOLF, THE FOX AND THE LION DIVIDING THE SPOILS","The lion, the wolf, and the fox agreed to go hunting together. The fox caught a goose, the wolf caught a fat ram, and the lion caught a scrawny cow. Then it was time to eat. The lion told the wolf to divide their catch. The wolf said, 'Let each one take what he has caught: the lion will take the cow, I'll take the ram, and the fox will take the goose.' The lion was enraged and, raising his paw, he used his claws to strip the wolf's head of all its fur and skin. The lion then ordered the fox to divide the spoils. The fox said, 'My lord, you should eat as much of the fat ram as you want, since its meat is tender, then you should eat as much of the goose as you want, but you should eat the cow's flesh only in moderation, since it is so tough. Whatever is left over you can give to us, your servants.' 'Well done,' said the lion. 'Who taught you how to do such a good job of dividing the spoils?' The fox said, 'My lord, I have learned from my associate's red cap: his excoriated skull provides a very vivid lesson.'",6,"My lord, I have learned from my associate's red cap: his excoriated skull provides a very vivid lesson",12,5,4,fox,none,none,none,none,,"This allusion to the red cardinal's cap is typical of Odo's medieval fables, which are clearly situated in Christian monastic culture. This same fable is also used by the great Islamic poet, Rumi (Mathnawi 1.3013 ff.), minus the reference to the cardinal's red cap."
16,0,4,THE MONKEY AND THE LION'S BREATH,"When the lion made himself king of the beasts, he wanted to be known for his fairness, so he gave up his old habits and contented himself with a limited diet just as the other animals did, committed to dispensing justice with complete honesty. As time went by, however, the lion's resolution began to waver. Since he was not able to alter his natural inclinations, he began to take certain animals aside in private and ask them whether or not his breath smelled bad. It was a clever strategy: the animals who said that it smelled bad and the animals who said it did not were all killed just the same and the lion was thus able to satisfy his appetite. After he had slaughtered a number of the animals in this way, the lion turned to the monkey and asked how his breath smelled. The monkey exclaimed that the lion's breath smelled of cinnamon, as if it were the very altar of the gods. The lion was ashamed to slaughter someone who said such nice things, so he changed his tactics and fooled the monkey with a newly devised stratagem. The lion pretended that he was sick. The doctors came right away, of course, and when they checked the lion's veins and found that his pulse was normal, they ordered him to eat some food that would be light on his stomach, thus alleviating his nausea. 'Kings may eat what they like,' admitted the lion. 'And I've never tried monkey meat... I would like to have a taste of that.' No sooner said than done: the obsequious monkey was quickly killed so that the lion could eat him immediately.",1,Kings may eat what they like. And I've never tried monkey meat... I would like to have a taste of that,3,2,4,lion,none,The penalty for speaking and for keeping silent is one and the same.,4,2,2,"Cinnamon was an extremely valuable and exotic substance in the ancient Greco-Roman world and in medieval Europe, travelling all the way from the 'Spice Islands' of Indonesia through Arabia to north Africa and ports on the Mediterranean."
17,0,4,"THE WOLF, THE FOX AND THE AILING LION","The lion had grown old and sick and was lying in his cave. All the animals, except for the fox, had come to visit their king. The wolf seized this opportunity to denounce the fox in front of the lion, complaining that the fox showed no respect for the lion, who was the common master of them all. Indeed, the fox had not even come to pay the ailing lion a visit! The fox arrived just in time to hear the end of the wolf's speech. The lion roared at the fox, but the fox asked for a chance to explain herself. 'After all,' said the fox, 'which one of all the animals assembled here has helped you as I have, travelling all over the world in order to seek out and discover from the doctors a remedy for your illness?' The lion ordered the fox to describe the remedy immediately, and the fox replied, 'You must flay a living wolf and wrap yourself in his skin while it is still warm.' When the wolf had been killed, the fox laughed and said, 'It is better to put your master in a good mood, not a bad one.'",1,"It is better to put your master in a good mood, not a bad one",7,5,4,fox,none,"The story shows that someone who plots against others falls into his 
        own trap.",1,0,2,"For a similar story about a goat and a donkey, see Fable 147."
